precision	_samples	_average _epoch total (real s)	_median _epoch total (real s)	_siqr _epoch total (real s)	_average _epoch total (s)	_median _epoch total (s)	_siqr _epoch total (s)	_average policy type=max_prob_output vars=s_bday-s_byear param=1/20	_median policy type=max_prob_output vars=s_bday-s_byear param=1/20	_siqr policy type=max_prob_output vars=s_bday-s_byear param=1/20
26	12	64.01712387805	63.49718344215	2.141436755675	20.7636245834333	20.7711510001	0.0366910000000011	0.000460458155866	0.000460458155866	0
27	12	63.54717441405	64.72308623795	2.58307254315	21.3302840834333	21.3451480001	0.0354440000000018	0.000460458155866	0.000460458155866	0
28	12	61.1008962989333	63.65998589995	2.6076465845	21.2610723334333	21.3132980001	0.0457082500000006	0.000460458155866	0.000460458155866	0
29	12	65.6174296936	66.3663935662	3.2765482068	21.9027715001	21.8970305001	0.0494789999999998	0.000460458155866	0.000460458155866	0
30	12	67.2064244151667	66.2142783404	2.603694260125	22.4877197501	22.5029080001	0.0450817499999996	0.000460458155866	0.000460458155866	0
31	12	68.657873312675	68.8430383206	4.505774438375	23.0861828334333	23.0965995001	0.0649370000000005	0.000460458155866	0.000460458155866	0
32	12	68.4862113198	68.3811039925	2.02553778885	22.8592308334333	22.8399040001	0.0436817500000011	0.000460458155866	0.000460458155866	0
33	12	70.9420647621583	72.8898180724	1.884504139425	23.5008586667667	23.5321550001	0.0292574999999999	0.000460458155866	0.000460458155866	0
34	12	73.09434288745	73.7579439879	1.83871388435	24.0385816667667	24.0446140001	0.0205680000000008	0.000422086642877	0.000422086642877	0
35	12	70.700536827275	70.63265907765	2.80245715380001	23.9733682501	23.9716840001	0.0472487499999978	0.000422086642877	0.000422086642877	0
36	12	71.7805409829333	72.9607263804	2.64163088799999	23.7925364167667	23.8071845001	0.0513504999999981	0.000383715129888	0.000383715129888	0
37	12	73.1638138890917	73.4099146128	4.657533884025	23.8418122501	23.8347265001	0.07886375	0.000383715129888	0.000383715129888	0
38	12	70.9373135567167	72.38490152365	1.88826709985	23.8153572501	23.8310985001	0.0381039999999988	0.000383715129888	0.000383715129888	0
39	12	71.1708834767833	71.24191451075	1.874476552	23.8327392501	23.8482995001	0.0287737500000009	0.000383715129888	0.000383715129888	0
40	12	65.7015060186917	69.16534399995	5.313969612125	23.7979983334333	23.8350335001	0.0303402500000001	0.000383715129888	0.000383715129888	0
